563, 216
619, 217
679, 228
742, 250
804, 276
868, 306
929, 340
984, 376
994, 438
976, 515
931, 594
881, 670
822, 743
744, 788
648, 798
554, 793
464, 782
499, 187
467, 199
453, 229
455, 266
466, 302
448, 355
413, 407
396, 467
399, 532
424, 591
508, 332
559, 327
609, 321
660, 315
710, 298
716, 325
718, 354
704, 386
692, 419
537, 227
510, 240
505, 274
524, 306
540, 279
547, 247
501, 439
468, 463
462, 502
478, 538
499, 509
505, 472
824, 312
800, 319
783, 340
787, 365
772, 392
772, 447
780, 514
817, 462
844, 418
852, 387
855, 360
843, 337
820, 325
811, 348
808, 371
799, 400
785, 496
804, 405
813, 376
813, 353
