111, 43
128, 46
147, 50
166, 61
180, 70
194, 84
203, 100
218, 113
223, 130
219, 150
203, 162
191, 177
176, 191
158, 199
140, 201
121, 207
103, 207
87, 58
75, 65
69, 80
74, 96
83, 108
84, 138
74, 150
68, 162
72, 178
80, 188
102, 122
119, 121
129, 120
140, 118
154, 111
154, 114
156, 119
155, 128
155, 133
107, 72
101, 82
102, 93
110, 101
114, 90
113, 79
105, 143
96, 152
96, 166
104, 175
108, 166
110, 155
176, 100
170, 109
170, 118
176, 129
174, 137
175, 145
175, 152
185, 146
191, 138
191, 126
190, 116
188, 106
178, 102
180, 117
180, 129
179, 137
177, 149
179, 137
181, 129
181, 116
