117, 58
140, 64
163, 70
185, 79
204, 94
223, 114
235, 129
244, 145
246, 160
238, 166
226, 171
214, 174
194, 178
173, 182
152, 185
125, 184
97, 182
99, 75
93, 89
92, 102
95, 114
100, 126
95, 142
85, 150
79, 158
77, 167
78, 174
107, 137
130, 140
156, 146
179, 153
186, 136
188, 145
191, 155
183, 162
179, 163
116, 92
108, 104
108, 115
117, 123
119, 114
120, 101
107, 143
98, 149
95, 160
96, 169
104, 164
107, 155
202, 134
199, 144
197, 149
199, 154
197, 157
198, 163
198, 168
205, 165
210, 161
212, 155
213, 148
210, 139
203, 138
203, 149
204, 154
202, 157
200, 165
203, 157
205, 154
203, 150
