100, 50
121, 49
144, 51
167, 54
185, 68
200, 86
212, 106
220, 128
221, 147
214, 159
203, 163
189, 164
175, 169
162, 174
148, 181
133, 187
118, 193
77, 92
72, 103
71, 116
74, 129
81, 141
89, 171
86, 178
85, 188
88, 195
94, 199
101, 160
116, 162
131, 164
147, 168
153, 143
152, 158
159, 170
153, 174
150, 176
99, 95
96, 114
95, 125
103, 134
106, 127
106, 112
114, 168
108, 179
110, 188
114, 191
118, 187
118, 178
177, 127
173, 136
169, 145
172, 153
171, 158
174, 161
181, 163
186, 160
189, 156
189, 148
188, 140
186, 133
177, 129
178, 146
179, 152
180, 157
182, 162
180, 157
179, 152
178, 146
