116, 49
138, 51
160, 57
180, 63
197, 74
211, 91
219, 110
225, 127
225, 141
222, 153
212, 162
200, 172
186, 181
170, 188
154, 193
137, 194
121, 192
98, 79
95, 94
95, 109
98, 123
105, 135
106, 162
101, 169
98, 177
96, 186
98, 192
123, 150
137, 151
151, 153
164, 155
172, 138
174, 145
176, 152
174, 157
170, 160
119, 96
115, 106
116, 117
123, 126
125, 116
124, 105
123, 160
115, 168
114, 177
117, 183
123, 178
124, 170
195, 124
190, 136
188, 146
190, 151
188, 155
189, 160
193, 164
198, 160
201, 156
203, 150
202, 145
200, 136
195, 129
194, 145
194, 150
193, 155
193, 161
193, 155
195, 151
194, 145
