115, 52
131, 51
146, 54
164, 60
182, 64
201, 68
219, 73
235, 82
242, 99
244, 121
236, 148
224, 171
207, 191
185, 204
161, 210
135, 212
108, 212
83, 44
79, 50
81, 57
85, 65
91, 72
89, 93
84, 112
83, 132
90, 151
101, 165
112, 86
126, 83
141, 79
157, 75
162, 69
168, 74
171, 82
168, 91
166, 100
105, 57
101, 62
102, 71
110, 78
111, 70
110, 61
114, 118
108, 125
109, 136
116, 145
118, 136
118, 126
194, 76
189, 77
188, 82
191, 88
190, 96
193, 110
200, 126
208, 112
210, 98
209, 90
206, 83
202, 78
195, 79
194, 82
195, 88
196, 96
199, 121
200, 97
199, 90
197, 83
