98, 41
116, 42
132, 43
153, 45
173, 49
187, 63
202, 78
222, 92
228, 108
221, 124
206, 138
193, 153
181, 170
161, 179
141, 184
121, 189
100, 193
82, 51
73, 61
71, 75
74, 88
81, 100
81, 125
76, 141
75, 157
80, 172
91, 182
104, 113
121, 111
138, 109
154, 107
159, 95
164, 100
169, 105
163, 113
160, 120
99, 62
93, 74
94, 85
106, 94
108, 83
107, 72
107, 132
97, 143
97, 155
106, 167
111, 155
111, 143
183, 86
179, 93
177, 99
179, 105
177, 111
180, 119
184, 125
190, 118
194, 111
195, 104
194, 98
190, 92
184, 90
183, 98
186, 104
184, 111
185, 122
185, 111
187, 104
184, 98
