111, 66
134, 72
156, 78
178, 84
199, 91
220, 100
236, 119
245, 144
246, 168
237, 183
225, 190
209, 193
194, 194
175, 195
150, 195
120, 192
92, 188
59, 97
55, 106
54, 118
55, 128
58, 138
55, 157
51, 164
49, 170
47, 174
47, 178
91, 156
112, 166
131, 173
151, 178
158, 157
159, 168
161, 180
156, 183
151, 184
95, 105
91, 113
91, 124
101, 130
101, 122
100, 113
93, 173
84, 174
80, 180
82, 187
88, 184
91, 178
178, 141
176, 151
175, 157
178, 161
176, 164
178, 168
184, 164
188, 170
193, 171
194, 161
194, 153
187, 143
180, 143
182, 153
182, 158
182, 162
184, 163
188, 166
189, 159
187, 146
